ride_slug,ride_name,button_slug,label,kind,state,file,path
breakdance,BreakDance,kreuz,Kreuz,toggle,off,breakdance_kreuz_off.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kreuz_off.png
breakdance,BreakDance,kreuz,Kreuz,toggle,on,breakdance_kreuz_on.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kreuz_on.png
breakdance,BreakDance,kreuztippen,Kreuz Tip,press,idle,breakdance_kreuztippen_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kreuztippen_idle.png
breakdance,BreakDance,kreuztippen,Kreuz Tip,press,pressed,breakdance_kreuztippen_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kreuztippen_pressed.png
breakdance,BreakDance,gondelbremse,Gondelbremse,hold,idle,breakdance_gondelbremse_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_gondelbremse_idle.png
breakdance,BreakDance,gondelbremse,Gondelbremse,hold,hold,breakdance_gondelbremse_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_gondelbremse_hold.png
starlight,StarLight,emergencystop,NOT-AUS,hold,idle,starlight_emergencystop_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_emergencystop_idle.png
starlight,StarLight,emergencystop,NOT-AUS,hold,hold,starlight_emergencystop_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_emergencystop_hold.png
starlight,StarLight,onoff,EIN/AUS,press,idle,starlight_onoff_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_onoff_idle.png
starlight,StarLight,onoff,EIN/AUS,press,pressed,starlight_onoff_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_onoff_pressed.png
starlight,StarLight,reset,Reset,press,idle,starlight_reset_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_reset_idle.png
starlight,StarLight,reset,Reset,press,pressed,starlight_reset_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_reset_pressed.png
starlight,StarLight,parking,Parking,press,idle,starlight_parking_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_parking_idle.png
starlight,StarLight,parking,Parking,press,pressed,starlight_parking_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_parking_pressed.png
starlight,StarLight,gondelpumpe,Gondel Pumpe,toggle,off,starlight_gondelpumpe_off.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondelpumpe_off.png
starlight,StarLight,gondelpumpe,Gondel Pumpe,toggle,on,starlight_gondelpumpe_on.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondelpumpe_on.png
starlight,StarLight,armpumpe,Arm Pumpe,toggle,off,starlight_armpumpe_off.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_armpumpe_off.png
starlight,StarLight,armpumpe,Arm Pumpe,toggle,on,starlight_armpumpe_on.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_armpumpe_on.png
starlight,StarLight,gondolaspeeddown,Gondola -,repeat,idle,starlight_gondolaspeeddown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondolaspeeddown_idle.png
starlight,StarLight,gondolaspeeddown,Gondola -,repeat,repeat,starlight_gondolaspeeddown_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondolaspeeddown_repeat.png
starlight,StarLight,gondolaspeedup,Gondola +,repeat,idle,starlight_gondolaspeedup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondolaspeedup_idle.png
starlight,StarLight,gondolaspeedup,Gondola +,repeat,repeat,starlight_gondolaspeedup_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondolaspeedup_repeat.png
starlight,StarLight,gondolabremse,Gondola Bremse,hold,idle,starlight_gondolabremse_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondolabremse_idle.png
starlight,StarLight,gondolabremse,Gondola Bremse,hold,hold,starlight_gondolabremse_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondolabremse_hold.png
starlight,StarLight,gondel0,Gondel 0,press,idle,starlight_gondel0_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondel0_idle.png
starlight,StarLight,gondel0,Gondel 0,press,pressed,starlight_gondel0_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_gondel0_pressed.png
starlight,StarLight,armspeeddown,Arm -,repeat,idle,starlight_armspeeddown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_armspeeddown_idle.png
starlight,StarLight,armspeeddown,Arm -,repeat,repeat,starlight_armspeeddown_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_armspeeddown_repeat.png
starlight,StarLight,armspeedup,Arm +,repeat,idle,starlight_armspeedup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_armspeedup_idle.png
starlight,StarLight,armspeedup,Arm +,repeat,repeat,starlight_armspeedup_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_armspeedup_repeat.png
starlight,StarLight,armbremse,Arm Bremse,press,idle,starlight_armbremse_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_armbremse_idle.png
starlight,StarLight,armbremse,Arm Bremse,press,pressed,starlight_armbremse_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_armbremse_pressed.png
starlight,StarLight,arm0,Arm 0,press,idle,starlight_arm0_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_arm0_idle.png
starlight,StarLight,arm0,Arm 0,press,pressed,starlight_arm0_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_arm0_pressed.png
starlight,StarLight,platformup,Platform Hoch,hold,idle,starlight_platformup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_platformup_idle.png
starlight,StarLight,platformup,Platform Hoch,hold,hold,starlight_platformup_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_platformup_hold.png
starlight,StarLight,platformdown,Platform Runter,hold,idle,starlight_platformdown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_platformdown_idle.png
starlight,StarLight,platformdown,Platform Runter,hold,hold,starlight_platformdown_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/starlight/starlight_platformdown_hold.png
xplosion,XPlosion,emergencystop,NOT-AUS,hold,idle,xplosion_emergencystop_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_emergencystop_idle.png
xplosion,XPlosion,emergencystop,NOT-AUS,hold,hold,xplosion_emergencystop_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_emergencystop_hold.png
xplosion,XPlosion,onoff,EIN/AUS,press,idle,xplosion_onoff_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_onoff_idle.png
xplosion,XPlosion,onoff,EIN/AUS,press,pressed,xplosion_onoff_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_onoff_pressed.png
xplosion,XPlosion,reset,Reset,press,idle,xplosion_reset_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_reset_idle.png
xplosion,XPlosion,reset,Reset,press,pressed,xplosion_reset_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_reset_pressed.png
xplosion,XPlosion,freigabe,Freigabe,press,idle,xplosion_freigabe_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_freigabe_idle.png
xplosion,XPlosion,freigabe,Freigabe,press,pressed,xplosion_freigabe_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_freigabe_pressed.png
xplosion,XPlosion,up,Hoch,hold,idle,xplosion_up_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_up_idle.png
xplosion,XPlosion,up,Hoch,hold,hold,xplosion_up_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_up_hold.png
xplosion,XPlosion,down,Runter,hold,idle,xplosion_down_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_down_idle.png
xplosion,XPlosion,down,Runter,hold,hold,xplosion_down_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_down_hold.png
xplosion,XPlosion,zero,Null,press,idle,xplosion_zero_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_zero_idle.png
xplosion,XPlosion,zero,Null,press,pressed,xplosion_zero_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/xplosion/xplosion_zero_pressed.png
funhouse,FunHouse,emergencystop,NOT-AUS,hold,idle,funhouse_emergencystop_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_emergencystop_idle.png
funhouse,FunHouse,emergencystop,NOT-AUS,hold,hold,funhouse_emergencystop_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_emergencystop_hold.png
funhouse,FunHouse,onoff,EIN/AUS,press,idle,funhouse_onoff_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_onoff_idle.png
funhouse,FunHouse,onoff,EIN/AUS,press,pressed,funhouse_onoff_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_onoff_pressed.png
funhouse,FunHouse,turntable1,Drehscheibe 1.OG,press,idle,funhouse_turntable1_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_turntable1_idle.png
funhouse,FunHouse,turntable1,Drehscheibe 1.OG,press,pressed,funhouse_turntable1_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_turntable1_pressed.png
funhouse,FunHouse,turntable2,Drehscheibe 2.OG,press,idle,funhouse_turntable2_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_turntable2_idle.png
funhouse,FunHouse,turntable2,Drehscheibe 2.OG,press,pressed,funhouse_turntable2_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_turntable2_pressed.png
funhouse,FunHouse,turntable3,Drehscheibe Dach,press,idle,funhouse_turntable3_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_turntable3_idle.png
funhouse,FunHouse,turntable3,Drehscheibe Dach,press,pressed,funhouse_turntable3_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_turntable3_pressed.png
funhouse,FunHouse,conveyor1,Laufband 1.OG,press,idle,funhouse_conveyor1_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_conveyor1_idle.png
funhouse,FunHouse,conveyor1,Laufband 1.OG,press,pressed,funhouse_conveyor1_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_conveyor1_pressed.png
funhouse,FunHouse,conveyor2,Laufband 2.OG,press,idle,funhouse_conveyor2_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_conveyor2_idle.png
funhouse,FunHouse,conveyor2,Laufband 2.OG,press,pressed,funhouse_conveyor2_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_conveyor2_pressed.png
funhouse,FunHouse,vibrate1,Vibrierplatte,press,idle,funhouse_vibrate1_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_vibrate1_idle.png
funhouse,FunHouse,vibrate1,Vibrierplatte,press,pressed,funhouse_vibrate1_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_vibrate1_pressed.png
funhouse,FunHouse,tunnel1,Drehtunnel,press,idle,funhouse_tunnel1_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_tunnel1_idle.png
funhouse,FunHouse,tunnel1,Drehtunnel,press,pressed,funhouse_tunnel1_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/funhouse/funhouse_tunnel1_pressed.png
rotator,Rotator,emergencystop,NOT-AUS,hold,idle,rotator_emergencystop_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_emergencystop_idle.png
rotator,Rotator,emergencystop,NOT-AUS,hold,hold,rotator_emergencystop_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_emergencystop_hold.png
rotator,Rotator,onoff,EIN/AUS,press,idle,rotator_onoff_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_onoff_idle.png
rotator,Rotator,onoff,EIN/AUS,press,pressed,rotator_onoff_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_onoff_pressed.png
rotator,Rotator,reset,Reset,press,idle,rotator_reset_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_reset_idle.png
rotator,Rotator,reset,Reset,press,pressed,rotator_reset_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_reset_pressed.png
rotator,Rotator,park,Park,press,idle,rotator_park_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_park_idle.png
rotator,Rotator,park,Park,press,pressed,rotator_park_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_park_pressed.png
rotator,Rotator,pumpe,Pumpe,toggle,off,rotator_pumpe_off.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_pumpe_off.png
rotator,Rotator,pumpe,Pumpe,toggle,on,rotator_pumpe_on.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_pumpe_on.png
rotator,Rotator,kompressor,Kompressor,toggle,off,rotator_kompressor_off.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kompressor_off.png
rotator,Rotator,kompressor,Kompressor,toggle,on,rotator_kompressor_on.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kompressor_on.png
rotator,Rotator,plattespeeddown,Platte -,repeat,idle,rotator_plattespeeddown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_plattespeeddown_idle.png
rotator,Rotator,plattespeeddown,Platte -,repeat,repeat,rotator_plattespeeddown_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_plattespeeddown_repeat.png
rotator,Rotator,plattespeedup,Platte +,repeat,idle,rotator_plattespeedup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_plattespeedup_idle.png
rotator,Rotator,plattespeedup,Platte +,repeat,repeat,rotator_plattespeedup_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_plattespeedup_repeat.png
rotator,Rotator,platte0,Platte 0,press,idle,rotator_platte0_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_platte0_idle.png
rotator,Rotator,platte0,Platte 0,press,pressed,rotator_platte0_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_platte0_pressed.png
rotator,Rotator,platte,Platte,toggle,off,rotator_platte_off.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_platte_off.png
rotator,Rotator,platte,Platte,toggle,on,rotator_platte_on.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_platte_on.png
rotator,Rotator,kreuzspeeddown,Kreuz -,repeat,idle,rotator_kreuzspeeddown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kreuzspeeddown_idle.png
rotator,Rotator,kreuzspeeddown,Kreuz -,repeat,repeat,rotator_kreuzspeeddown_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kreuzspeeddown_repeat.png
rotator,Rotator,kreuzspeedup,Kreuz +,repeat,idle,rotator_kreuzspeedup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kreuzspeedup_idle.png
rotator,Rotator,kreuzspeedup,Kreuz +,repeat,repeat,rotator_kreuzspeedup_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kreuzspeedup_repeat.png
rotator,Rotator,kreuz0,Kreuz 0,press,idle,rotator_kreuz0_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kreuz0_idle.png
rotator,Rotator,kreuz0,Kreuz 0,press,pressed,rotator_kreuz0_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kreuz0_pressed.png
rotator,Rotator,kreuz,Kreuz,toggle,off,rotator_kreuz_off.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kreuz_off.png
rotator,Rotator,kreuz,Kreuz,toggle,on,rotator_kreuz_on.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_kreuz_on.png
rotator,Rotator,inverterspeeddown,Inverter -,repeat,idle,rotator_inverterspeeddown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_inverterspeeddown_idle.png
rotator,Rotator,inverterspeeddown,Inverter -,repeat,repeat,rotator_inverterspeeddown_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_inverterspeeddown_repeat.png
rotator,Rotator,inverterspeedup,Inverter +,repeat,idle,rotator_inverterspeedup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_inverterspeedup_idle.png
rotator,Rotator,inverterspeedup,Inverter +,repeat,repeat,rotator_inverterspeedup_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_inverterspeedup_repeat.png
rotator,Rotator,inverter0,Inverter 0,press,idle,rotator_inverter0_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_inverter0_idle.png
rotator,Rotator,inverter0,Inverter 0,press,pressed,rotator_inverter0_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_inverter0_pressed.png
rotator,Rotator,inverter,Inverter,toggle,off,rotator_inverter_off.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_inverter_off.png
rotator,Rotator,inverter,Inverter,toggle,on,rotator_inverter_on.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_inverter_on.png
rotator,Rotator,buegel,Buegel,toggle,off,rotator_buegel_off.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_buegel_off.png
rotator,Rotator,buegel,Buegel,toggle,on,rotator_buegel_on.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_buegel_on.png
rotator,Rotator,hubup,Hub Hoch,hold,idle,rotator_hubup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_hubup_idle.png
rotator,Rotator,hubup,Hub Hoch,hold,hold,rotator_hubup_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_hubup_hold.png
rotator,Rotator,hubstop,Hub Stop,press,idle,rotator_hubstop_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_hubstop_idle.png
rotator,Rotator,hubstop,Hub Stop,press,pressed,rotator_hubstop_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_hubstop_pressed.png
rotator,Rotator,hubdown,Hub Runter,hold,idle,rotator_hubdown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_hubdown_idle.png
rotator,Rotator,hubdown,Hub Runter,hold,hold,rotator_hubdown_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/rotator/rotator_hubdown_hold.png
turaka,Turaka,emergencystop,NOT-AUS,hold,idle,turaka_emergencystop_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_emergencystop_idle.png
turaka,Turaka,emergencystop,NOT-AUS,hold,hold,turaka_emergencystop_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_emergencystop_hold.png
turaka,Turaka,onoff,EIN/AUS,press,idle,turaka_onoff_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_onoff_idle.png
turaka,Turaka,onoff,EIN/AUS,press,pressed,turaka_onoff_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_onoff_pressed.png
turaka,Turaka,reset,Reset,press,idle,turaka_reset_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_reset_idle.png
turaka,Turaka,reset,Reset,press,pressed,turaka_reset_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_reset_pressed.png
turaka,Turaka,speeddown,Speed -,repeat,idle,turaka_speeddown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_speeddown_idle.png
turaka,Turaka,speeddown,Speed -,repeat,repeat,turaka_speeddown_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_speeddown_repeat.png
turaka,Turaka,speedup,Speed +,repeat,idle,turaka_speedup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_speedup_idle.png
turaka,Turaka,speedup,Speed +,repeat,repeat,turaka_speedup_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_speedup_repeat.png
turaka,Turaka,direction,Richtung,press,idle,turaka_direction_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_direction_idle.png
turaka,Turaka,direction,Richtung,press,pressed,turaka_direction_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_direction_pressed.png
turaka,Turaka,start,Start,press,idle,turaka_start_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_start_idle.png
turaka,Turaka,start,Start,press,pressed,turaka_start_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_start_pressed.png
turaka,Turaka,stop,Stop,press,idle,turaka_stop_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_stop_idle.png
turaka,Turaka,stop,Stop,press,pressed,turaka_stop_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_stop_pressed.png
turaka,Turaka,platform,Platform,press,idle,turaka_platform_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_platform_idle.png
turaka,Turaka,platform,Platform,press,pressed,turaka_platform_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_platform_pressed.png
turaka,Turaka,parkcar1,Park Wagen 1,press,idle,turaka_parkcar1_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_parkcar1_idle.png
turaka,Turaka,parkcar1,Park Wagen 1,press,pressed,turaka_parkcar1_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_parkcar1_pressed.png
turaka,Turaka,parkcar2,Park Wagen 2,press,idle,turaka_parkcar2_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_parkcar2_idle.png
turaka,Turaka,parkcar2,Park Wagen 2,press,pressed,turaka_parkcar2_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/turaka/turaka_parkcar2_pressed.png
standard,Standard,enterleave,Ein-/Aussteigen,press,idle,standard_enterleave_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/standard/standard_enterleave_idle.png
standard,Standard,enterleave,Ein-/Aussteigen,press,pressed,standard_enterleave_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/standard/standard_enterleave_pressed.png
standard,Standard,pushtotalk,Push to Talk,hold,idle,standard_pushtotalk_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/standard/standard_pushtotalk_idle.png
standard,Standard,pushtotalk,Push to Talk,hold,hold,standard_pushtotalk_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/standard/standard_pushtotalk_hold.png
standard,Standard,nextseat,Naechster Platz,mod,idle,standard_nextseat_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/standard/standard_nextseat_idle.png
standard,Standard,nextseat,Naechster Platz,mod,pressed,standard_nextseat_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/standard/standard_nextseat_pressed.png
standard,Standard,lastseat,Letzter Platz,mod,idle,standard_lastseat_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/standard/standard_lastseat_idle.png
standard,Standard,lastseat,Letzter Platz,mod,pressed,standard_lastseat_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/standard/standard_lastseat_pressed.png
